artwork_id,image_id,date,series,title_fr,title_en,title_lang,medium,support,width_cm,height_cm,width_in,height_in,tags,show,favorite,guardian,guardian_kind,display_location,display_url,display_until,available_from,availability_details,notes,extra_credits,license_name,license_url,original_url
mj-20220702,img-20220702,2022-07-02,ser-20220305,colle magique,Magic Glue,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,artist,,,,2022-07-02,,,,,,
mj-20220626,img-20220626,2022-06-26,ser-20220305,Mais qu’allons nous faire de toi ?,What Are We Going to Do with You?,en,acrylic marker on black paper,paper,,,11,8.5,,1,1,Françoise Fargeix,family,,,,,,,,,,
mj-20220611-2,img-20220611-2,2022-06-11,ser-20220305,sédentarité,Sedentarity,fr,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,artist,,,,2022-06-11,,,,,,
mj-20220611-1,img-20220611-1,2022-06-11,ser-20220305,attaque,Attack,fr,acrylic marker on white paper,paper,,,12,9,,1,0,Martin Jambon,artist,,,,2022-06-11,,,,,,
mj-20220530,img-20220530,2022-05-30,ser-20220305,duel,Duel,en,acrylic marker on white paper,paper,,,12,9,,1,1,Kathy Jambon,artist,,,,2022-05-30,,,,,,
mj-20220529,img-20220529,2022-05-29,ser-20220305,isolement culturel forcé,Forced Cultural Isolation,fr,acrylic marker on white paper,paper,,,12,9,,1,0,Martin Jambon,artist,,,,2022-05-29,,,,,,
mj-20220523,img-20220523,2022-05-23,ser-20220305,effondrement,Meltdown,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,artist,,,,2022-05-23,,,,,,
mj-20220521,img-20220521,2022-05-21,ser-20220305,la visite,The Visit,fr,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,artist,,,,2022-05-21,,,,,,
mj-20220508-2,img-20220508-2,2022-05-08,,le paysan moderne,The Modern Peasant,fr,chalk,,,,,,"ephemeral,outdoors",1,0,nobody,ephemeral,,,,,,,,,,
mj-20220508-1,img-20220508-1,2022-05-08,ser-20220305,pop américaine,American Pop,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,artist,,,,2022-05-08,,,,,,
mj-20220507,img-20220507,2022-05-07,,statuette no. 1,Statuette #1,fr,air-dry clay and acrylic marker,,,,,,sculpture,1,0,Martin Jambon,artist,,,,2022-05-07,,,,,,
mj-20220506,img-20220506,2022-05-06,ser-20220305,vapeurs toxiques,Toxic Fumes,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,artist,,,,2022-05-06,,,,,,
mj-20220504-2,img-20220504-2,2022-05-04,ser-20220305,derniers moments,Final Moments,en,acrylic marker on white paper,paper,,,12,9,,1,0,Martin Jambon,artist,,,,2022-05-04,,,,,,
mj-20220504-1,img-20220504-1,2022-05-04,ser-20220305,labourage et pâturage,,fr,acrylic marker on white paper,paper,,,12,9,,1,1,Kathy Jambon,artist,,,,2022-05-04,,,,,,
mj-20220503,img-20220503,2022-05-03,ser-20220305,chirurgie,Surgery,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,artist,,,,2022-05-03,,,,,,
mj-20220502,img-20220502,2022-05-02,ser-20220305,,Bandwagon,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,artist,,,,2022-05-02,,,,,,
mj-20220429,img-20220429,2022-04-29,ser-20220305,bulles,Bubbles,en,acrylic marker on white paper,paper,29.7,21,,,,1,1,Martin Jambon,artist,,,,2022-04-29,,"The signature in the lower-right corner was covered up in white paint, then digitally edited out.",,,,
mj-20220426-2,img-20220426-2,2022-04-26,ser-20220305,forme flottante bleue,Floating Blue Shape,en,acrylic marker on white paper,paper,29.7,21,,,,1,0,Françoise Fargeix,family,,,,,,,,,,
mj-20220426-1,img-20220426-1,2022-04-26,ser-20220305,l'idée de la neige,The Idea of Snow,fr,acrylic marker on black paper,paper,29.7,21,,,,1,0,Martin Jambon,artist,,,,2022-04-26,,,,,,
mj-20220424,img-20220424,2022-04-24,ser-20220305,archéologie,Archaeology,fr,acrylic marker on black paper,paper,29.7,21,,,,1,1,Martin Jambon,artist,,,,2022-04-24,,,,,,
mj-20220419,img-20220419,2022-04-19,ser-20220305,votre choix de viande,Your Choice of Meat,en,acrylic marker on black paper,paper,29.7,21,,,,1,1,Martin Jambon,artist,,,,2022-04-19,,,,,,
mj-20220415,img-20220415,2022-04-15,ser-20220305,participation,Participation,en,acrylic marker on white paper,paper,,,12,9,,1,1,Martin Jambon,artist,,,,2022-04-15,,,,,,
mj-20220413-2,img-20220413-2,2022-04-13,ser-20220320,eau,Water,en,acrylic marker on black paper,paper,29.7,21,,,monochrome,1,0,Martin Jambon,artist,,,,2022-04-13,,,,,,
mj-20220413-1,img-20220413-1,2022-04-13,ser-20220305,printemps,Springtime,en,acrylic marker on black paper,paper,29.7,21,,,,1,1,Martin Jambon,artist,,,,2022-04-13,,,,,,
mj-20220409,img-20220409,2022-04-09,ser-20220320,conflit,Conflict,en,acrylic marker on black paper,paper,29.7,21,,,monochrome,1,0,Kathy Jambon,family,,,,,,,,,,
mj-20220405,img-20220405,2022-04-05,ser-20220320,insouciance,Insouciance,fr,acrylic marker on black paper,paper,29.7,21,,,monochrome,1,1,Martin Jambon,artist,,,,2022-04-05,,,,,,
mj-20220403-3,img-20220403-3,2022-04-03,ser-20220320,procréation,Procreation,en,acrylic marker on black paper,paper,29.7,21,,,monochrome,1,0,Martin Jambon,artist,,,,2022-04-03,,,,,,
